Timestamp;Sensor 0;Sensor 1;Sensor 2;Sensor 3;Sensor 4;Position;Position3;Scenario;Speed Left; Speed Right
14056;0;1000;1000;0;0;1500;1500;"Normal";-222;4222
14064;0;1000;1000;0;0;1500;1500;"Normal";-222;4222
14072;0;1000;1000;0;0;1500;1500;"Normal";2000;4222
14080;0;1000;1000;0;0;1500;1500;"Normal";2000;4222
14088;0;214;1000;0;0;1823;1823;"Normal";4222;2770
14096;0;215;1000;0;0;1823;1823;"Normal";4222;2770
14104;0;232;1000;0;0;1811;1811;"Normal";3172;4222
14112;0;233;1000;0;0;1811;1811;"Normal";3172;4222
14120;0;222;1000;0;0;1818;1818;"Normal";3314;4222
14128;0;223;1000;0;0;1817;1817;"Normal";3314;4222
14136;0;224;1000;0;0;1816;1816;"Normal";3252;4222
14144;0;222;1000;0;0;1818;1818;"Normal";3252;4222
14152;0;0;1000;0;0;2000;2000;"Normal";4222;2896
14160;0;0;1000;0;0;2000;2000;"Normal";4222;2896
14168;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14176;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14184;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14192;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14200;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14208;0;0;1000;237;0;2191;2191;"Normal";4000;4000
14216;0;0;1000;228;0;2185;2185;"Normal";4222;2150
14224;0;0;1000;207;0;2171;2171;"Normal";4222;2150
14232;0;0;1000;228;1000;3000;2185;"Right angle curve right";4222;-222
14240;0;0;1000;228;1000;3000;2185;"Right angle curve right";4222;-222
14248;1000;0;1000;229;1000;2070;2186;"Start-/Stop-line";4222;3300
14256;1000;0;1000;231;1000;2071;2187;"Start-/Stop-line";4222;3300
14264;1000;0;1000;205;1000;2063;2170;"Start-/Stop-line";4210;3790
14272;1000;0;1000;0;0;1000;2000;"Start-/Stop-line";4210;3790
14280;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14288;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14296;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14304;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14312;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14320;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14328;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14336;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14344;0;235;1000;0;0;1809;1809;"Normal";2090;4222
14352;0;237;1000;0;0;1808;1808;"Normal";2090;4222
14360;0;205;1000;0;0;1829;1829;"Normal";3436;4222
14368;0;223;1000;0;0;1817;1817;"Normal";3436;4222
14376;0;223;1000;0;0;1817;1817;"Normal";3196;4222
14384;0;226;1000;0;0;1815;1815;"Normal";3196;4222
14392;0;0;1000;0;0;2000;2000;"Normal";4222;2902
14400;0;0;1000;0;0;2000;2000;"Normal";4222;2902
14408;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14416;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14424;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14432;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14440;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14448;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14456;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14464;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14472;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14480;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14488;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14496;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14504;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14512;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14520;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14528;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14536;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14544;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14552;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14560;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14568;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14576;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14584;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14592;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14600;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14608;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14616;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14624;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14632;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14640;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14648;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14656;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14664;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14672;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14680;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14688;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14696;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14704;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14712;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14720;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14728;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14736;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14744;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14752;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14760;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14768;0;0;1000;0;0;2000;2000;"Normal";4000;4000
14776;0;0;1000;0;0;2000;2000;"Normal";4000;4000
